show_id,type,title,cast,release_year,duration,listed_in,platform
n790,tv show,downton abbey,"hugh bonneville, jessica brown findlay, samantha bond, laura carmichael, jim carter, raquel cassidy, brendan coyle, tom cullen, michelle dockery, kevin doyle, siobhan finneran, michael fox, joanne froggatt, matthew goode, harry hadden-paton, thomas howes, lily james, rob james-collier, rose leslie, phyllis logan, elizabeth mcgovern, sophie mcshera, lesley nicol, maggie smith, penelope wilton",2015,6,"british tv shows, international, drama",netflix
n791,movie,dream/killer,"bill ferguson, ryan ferguson",2015,109,documentary,netflix
n792,movie,felon,"stephen dorff, val kilmer, harold perrineau, marisol nichols, anne archer, nick chinlund, nate parker, johnny lewis, sam shepard, jake walker, joey villasenor, antonio leyba, mike seal, richard caruso, kevin wiggins, larnell stovall, mara holguin, elton walker, brittany perrineau, esodie geiger, jermaine washington, greg serano, brian keith gamble, mark sivertsen, carrie fleming, adam taylor, chris browning, john koyama, shawn prince, christopher dempsey, cynthia ruffin",2008,104,"action & adventure, drama",netflix
n793,movie,flipped,"madeline carroll, callan mcauliffe, rebecca de mornay, anthony edwards, john mahoney, penelope ann miller, aidan quinn, kevin weisman, morgan lily, ryan ketzner",2010,90,"comedy, drama, romance",netflix
n794,movie,fools rush in,"matthew perry, salma hayek, jon tenney, carlos gómez, tomas milian, siobhan fallon hogan, john bennett perry, stanley desantis, suzanne snyder, anne betancourt, jill clayburgh",1997,109,"comedy, romance",netflix
n795,movie,gold statue,"gabriel afolayan, kunle remi, richard mofe-damijo, sola sobowale, kelvin ikeduba, kunle fawole, norbert young, alibaba akporobome, segun arinze, rycardo agbor",2019,145,"comedy, drama, international",netflix
n796,tv show,happy endings,"eliza coupe, elisha cuthbert, zachary knighton, adam pally, damon wayans jr., casey wilson",2012,3,comedy,netflix
n797,movie,hostel: part iii,"kip pardue, brian hallisay, john hensley, sarah habel, chris coy, skyler stone, thomas kretschmann, zulay henao, nickola shreli, derrick carr",2011,88,"cult movies, horror",netflix
n798,movie,i am sam,"sean penn, michelle pfeiffer, dakota fanning, dianne wiest, loretta devine, richard schiff, laura dern, brad silverman, joseph rosenberg, stanley desantis, doug hutchison",2001,132,drama,netflix
n799,movie,love jones,"larenz tate, nia long, isaiah washington, lisa nicole carson, bill bellamy, leonard roberts, bernadette l. clarke, khalil kain",1997,109,"comedy, drama, independent movies",netflix
n800,movie,million dollar baby,"clint eastwood, hilary swank, morgan freeman, anthony mackie, jay baruchel, mike colter, lucia rijker, brían f. o'byrne, margo martindale, riki lindhome",2004,133,"drama, sports",netflix
